,ListingKey,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanKey,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,LoanOriginationQuarterNew
104270,D8B134143610508029BC37B,288347,2008-03-05 06:07:13.317,C,36,Chargedoff,2009-02-11 00:00:00,0.27002,0.247,0.237,,,,,,,3,MS,Accountant/CPA,Full-time,51.0,True,False,,2008-02-26 14:35:59.613000000,660.0,679.0,1992-11-10 00:00:00,8.0,6.0,22.0,4,60.0,2.0,3.0,4.0,2213.0,0.0,1.0,0.0,382.0,0.5,248.0,16.0,0.66,3.0,0.12,"$100,000+",True,9250.0,7A4334151450368181C0F79,,,,,,,,,1974,11.0,72,28427,6000,2008-03-13 00:00:00.000,Q1 2008,FEA43414924498303507104,237.61,1425.66,617.58,808.08,-32.34,0.0,5382.44,5382.42,0.0,1.0,0,0,0.0,122,
59207,C28034145883997017B99EA,288389,2008-03-05 07:52:13.933,B,36,Completed,2010-01-25 00:00:00,0.13814,0.124,0.114,,,,,,,4,NJ,Civil Service,Full-time,184.0,False,False,,2008-03-05 07:50:27.687000000,700.0,719.0,1990-03-01 00:00:00,9.0,8.0,22.0,6,625.0,1.0,5.0,0.0,0.0,11.0,0.0,0.0,11945.0,0.26,11774.0,16.0,0.81,1.0,0.21,"$75,000-99,999",True,6500.0,C06A34161255373936F5355,1.0,15.0,15.0,0.0,0.0,3150.0,0.0,0.0,0,,72,28442,7500,2008-03-13 00:00:00.000,Q1 2008,EEA2336463980166387603B,250.54,8779.42,7500.0,1279.42,-103.18,0.0,0.0,0.0,0.0,1.0,0,0,0.0,158,
594,092A3415560077501215B1A,288404,2008-03-05 08:07:54.990,AA,36,Completed,2011-03-26 00:00:00,0.10390999999999999,0.097,0.097,,,,,,,2,MN,Analyst,Self-employed,7.0,True,False,,2008-03-05 06:58:22.110000000,780.0,799.0,2005-03-14 00:00:00,9.0,9.0,11.0,7,141.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.02,45485.0,10.0,1.0,0.0,0.07,"$75,000-99,999",True,7000.0,50F63415503835104D2A05E,,,,,,,,,0,,72,28870,10000,2008-03-26 00:00:00.000,Q1 2008,C4EC33652221150896777D1,318.18,11568.81,10000.0,1568.81,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,348,
2821,4B2B3414437823005B69C53,288411,2008-03-05 08:26:53.140,B,36,Completed,2011-03-13 00:00:00,0.15428,0.14,0.13,,,,,,,3,IL,Professional,Full-time,65.0,True,False,,2008-02-20 07:59:13.503000000,700.0,719.0,1998-06-01 00:00:00,9.0,6.0,20.0,2,427.0,2.0,5.0,1.0,55.0,0.0,0.0,0.0,66400.0,0.94,3700.0,19.0,0.85,1.0,0.1,"$50,000-74,999",True,5000.0,64A034151497357691E2340,,,,,,,,,0,,72,28421,6000,2008-03-13 00:00:00.000,Q1 2008,AE1D3412934022276549654,201.7,7385.89,6000.02,1385.87,-98.99,0.0,0.0,0.0,0.0,1.0,0,0,0.0,224,
49402,E0A6341474988820260E73C,288425,2008-03-05 08:40:36.763,B,36,Completed,2008-09-17 00:00:00,0.14369,0.1295,0.1195,,,,,,,3,NY,Police Officer/Correction Officer,Full-time,179.0,True,False,,2008-03-04 10:38:49.687000000,680.0,699.0,1989-03-23 00:00:00,15.0,8.0,31.0,5,401.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,23582.0,0.81,5436.0,29.0,1.0,3.0,0.27,"$75,000-99,999",True,6250.0,EC4B34148591220376DEE8E,1.0,6.0,6.0,0.0,0.0,23000.0,19627.93,-80.0,0,,72,28444,5300,2008-03-13 00:00:00.000,Q1 2008,22E733851457079809B5DA5,178.45,5602.36,5300.0,302.36,-23.34,0.0,0.0,0.0,0.0,1.0,1,0,0.0,33,
5445,43E93415245322204E2E013,288435,2008-03-05 08:48:50.147,B,36,Completed,2011-04-04 00:00:00,0.15629,0.142,0.132,,,,,,,3,MN,Other,Self-employed,11.0,False,False,,2008-03-05 08:30:16.327000000,680.0,699.0,1998-07-09 00:00:00,14.0,14.0,27.0,12,159.0,0.0,11.0,0.0,0.0,4.0,1.0,0.0,1965.0,0.09,19152.0,23.0,0.83,2.0,0.28,"$50,000-74,999",True,4333.333333,AB8C341625514294365817F,,,,,,,,,0,,72,28422,7000,2008-03-13 00:00:00.000,Q1 2008,E2BF3364746738269129878,239.92,8631.59,6999.99,1631.6,-112.35,-104.42,0.0,0.0,0.0,1.0,0,0,0.0,143,
63473,2F4F34144186208494E82A1,288454,2008-03-05 08:57:57.660,D,36,Completed,2010-09-23 00:00:00,0.34611,0.322,0.312,,,,,,,6,AL,Other,Full-time,42.0,True,False,,2008-03-05 08:49:34.503000000,620.0,639.0,1995-09-01 00:00:00,12.0,11.0,50.0,7,225.0,1.0,8.0,2.0,2135.0,33.0,1.0,0.0,6551.0,0.86,868.0,41.0,0.63,2.0,0.21,"$50,000-74,999",True,4420.0,402C3414992210982BBC1F3,1.0,6.0,6.0,0.0,0.0,3000.0,2637.56,0.0,0,,72,28481,2000,2008-03-14 00:00:00.000,Q1 2008,87E63396519789943634933,87.33,3095.76,2000.02,1095.74,-34.04,0.0,0.0,0.0,0.0,1.0,0,0,0.0,18,
2993,80ED3414235133512E540FD,288463,2008-03-05 09:02:40.033,B,36,Completed,2011-03-11 00:00:00,0.15993,0.142,0.132,,,,,,,4,UT,Other,Full-time,324.0,False,False,,2008-03-05 08:49:26.070000000,680.0,699.0,1980-05-17 00:00:00,17.0,16.0,25.0,15,995.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,35998.0,0.9,3667.0,24.0,0.87,2.0,0.3,"$25,000-49,999",True,3580.0,0B383415536831062427FB4,,,,,,,,,0,,72,28289,1000,2008-03-11 00:00:00.000,Q1 2008,795F3413885049516919640,34.27,1234.51,999.99,234.52,-16.52,0.0,0.0,0.0,0.0,1.0,0,0,0.0,20,
18984,9A3C341405823453005BC94,288587,2008-03-05 10:37:44.637,B,36,Completed,2011-03-13 00:00:00,0.15136,0.138,0.128,,,,,,,4,MO,Other,Full-time,26.0,True,False,,2008-03-05 10:24:20.267000000,680.0,699.0,1990-10-24 00:00:00,15.0,14.0,22.0,12,260.0,6.0,16.0,0.0,0.0,3.0,2.0,0.0,7589.0,0.41,8281.0,20.0,1.0,2.0,0.16,"$25,000-49,999",True,3250.0,BD6B3415485204616815842,,,,,,,,,0,,72,28428,4000,2008-03-13 00:00:00.000,Q1 2008,13A43415762339574B09DA4,133.9,4909.94,4000.01,909.93,-65.94,0.0,0.0,0.0,0.0,1.0,1,0,0.0,150,
83147,A9B234152133275954B4018,288588,2008-03-05 10:40:49.853,B,36,Completed,2010-08-24 00:00:00,0.14772000000000002,0.1335,0.1235,,,,,,,3,IL,Other,Full-time,186.0,False,False,,2008-03-05 09:35:12.177000000,680.0,699.0,1995-11-01 00:00:00,10.0,8.0,18.0,6,479.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21093.0,0.52,19067.0,18.0,0.94,0.0,0.86,"$1-24,999",True,1370.166667,51EC34163646846211E0EE1,,,,,,,,,0,,72,28431,1700,2008-03-13 00:00:00.000,Q1 2008,EF87341498900002331E180,57.57,2035.95,1700.01,335.94,-25.17,0.0,0.0,0.0,0.0,1.0,0,0,0.0,63,
63761,91763414259151552425136,288603,2008-03-05 11:01:56.643,D,36,Completed,2009-01-23 00:00:00,0.22236999999999998,0.2,0.19,,,,,,,5,UT,Sales - Commission,Self-employed,2.0,False,False,,2008-02-26 13:55:27.380000000,600.0,619.0,2006-04-21 00:00:00,2.0,2.0,3.0,2,53.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,1887.0,0.82,413.0,2.0,1.0,0.0,,$0,False,0.0,2B5D341598646432384CDEB,,,,,,,,,0,,72,28433,1700,2008-03-13 00:00:00.000,Q1 2008,590D341422429695735E44E,63.18,1964.94,1700.0,264.94,-13.24,0.0,0.0,0.0,0.0,1.0,0,0,0.0,53,
89461,E3723414428456894DED096,288618,2008-03-05 11:12:15.763,C,36,Completed,2008-05-02 00:00:00,0.24447,0.2294,0.2194,,,,,,,4,MI,Police Officer/Correction Officer,Full-time,254.0,True,False,,2008-03-04 13:07:31.667000000,640.0,659.0,1986-11-05 00:00:00,18.0,14.0,60.0,7,550.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,22798.0,0.96,854.0,58.0,1.0,3.0,0.62,"$50,000-74,999",True,4166.666667,FD593416016023492A5DAEE,,,,,,,,,0,,72,28392,4000,2008-03-12 00:00:00.000,Q1 2008,A8CD34147399175492515A3,154.71,4125.73,4000.0,125.73,-5.48,0.0,0.0,0.0,0.0,1.0,0,0,0.0,44,
111585,2E103414964379125A093D2,288667,2008-03-05 11:58:58.277,C,36,Chargedoff,2009-11-21 00:00:00,0.23504,0.2125,0.2025,,,,,,,3,GA,Other,Full-time,45.0,True,False,,2008-02-28 10:36:50.427000000,660.0,679.0,2002-12-01 00:00:00,4.0,4.0,5.0,3,36.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0,445.0,0.06,6405.0,4.0,1.0,2.0,0.17,"$25,000-49,999",True,3583.333333,75423415958493807DA55BA,,,,,,,,,1694,20.0,72,28710,15000,2008-03-20 00:00:00.000,Q1 2008,99623414514524123317E4B,567.05,8774.75,5197.35,3577.4,-168.35,0.0,9802.65,9802.65,0.0,1.0,0,0,0.0,358,
35593,833E3415321256295A879DD,288683,2008-03-05 12:18:22.660,C,36,Completed,2011-01-04 00:00:00,0.12562,0.1045,0.0945,,,,,,,4,NY,Teacher,Full-time,6.0,False,False,,2008-03-02 16:13:08.057000000,640.0,659.0,1994-05-01 00:00:00,6.0,5.0,32.0,4,106.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4902.0,0.96,198.0,20.0,0.9,1.0,0.38,"$25,000-49,999",True,2083.333333,1F503414791496664082A12,,,,,,,,,0,,72,28207,1000,2008-03-07 00:00:00.000,Q1 2008,482C3414430017133EB4F92,32.48,1168.7,999.98,168.72,-16.13,0.0,0.0,0.0,0.0,1.0,0,0,0.0,17,
25485,B0E634140843934026B4D11,288733,2008-03-05 13:09:43.960,AA,36,Completed,2008-04-02 00:00:00,0.08202999999999999,0.0735,0.0735,,,,,,,4,CA,Other,Retired,228.0,True,True,ACFB3365095848727895936,2008-03-05 13:04:15.197000000,820.0,839.0,1976-01-01 00:00:00,7.0,7.0,16.0,6,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,15875.0,16.0,1.0,0.0,0.15,"$25,000-49,999",True,2500.0,7D4034153420408217EC740,2.0,3.0,3.0,0.0,0.0,5309.0,0.0,0.0,0,,72,28420,2000,2008-03-13 00:00:00.000,Q1 2008,12C53364471219226F478E8,62.07,2008.05,2000.0,8.05,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,75,
37095,887F341449687075909BE43,288748,2008-03-05 13:29:59.087,C,36,Completed,2011-03-08 00:00:00,0.23656,0.214,0.204,,,,,,,7,GA,Other,Full-time,18.0,False,False,,2008-03-05 12:42:24.743000000,660.0,679.0,2000-04-04 00:00:00,27.0,24.0,48.0,12,285.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,10402.0,0.5,10023.0,36.0,0.97,1.0,0.4,"$25,000-49,999",True,3500.0,9C053415088516004CA758C,,,,,,,,,0,,72,28502,5000,2008-03-14 00:00:00.000,Q1 2008,049233823972095378B0176,178.97,6824.43,5000.0,1824.43,-85.26,0.0,0.0,0.0,0.0,1.0,1,0,0.0,100,
45564,969334152270885443F2500,288749,2008-03-05 13:32:23.213,HR,36,Chargedoff,2009-08-15 00:00:00,0.33204,0.3175,0.3075,,,,,,,4,CA,Other,Full-time,56.0,False,False,,2008-03-05 13:29:08.557000000,540.0,559.0,2000-03-31 00:00:00,11.0,11.0,14.0,8,315.0,13.0,42.0,0.0,0.0,0.0,0.0,0.0,15571.0,0.84,2306.0,13.0,1.0,0.0,0.55,"$25,000-49,999",True,2916.666667,0B3D3416369287212FCCFC0,1.0,6.0,6.0,0.0,0.0,3375.0,2975.82,0.0,1791,17.0,72,28483,4098,2008-03-14 00:00:00.000,Q1 2008,3A6F3396566812678501C82,177.92,2135.04,964.54,1170.5,-36.86,0.0,3133.46,3133.46,0.0,1.0,0,0,0.0,43,
28719,2EDB341519162238793C84A,288797,2008-03-05 14:28:23.677,AA,36,Completed,2010-03-11 00:00:00,0.07981,0.073,0.073,,,,,,,4,CA,Professional,Full-time,12.0,True,False,,2008-03-05 13:53:37.190000000,780.0,799.0,1998-02-17 00:00:00,14.0,11.0,27.0,9,80.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7599.0,0.17,35801.0,26.0,1.0,0.0,0.08,"$100,000+",True,8625.0,D7E93415897988731BB0FD7,1.0,14.0,14.0,0.0,0.0,4000.0,2021.12,0.0,0,,72,28358,5000,2008-03-11 00:00:00.000,Q1 2008,1E75337515246004047FB0C,155.07,5376.93,5000.0,376.93,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,169,
15163,C1C43414552812163A1A12A,288803,2008-03-05 14:37:37.640,D,36,Completed,2009-04-21 00:00:00,0.15698,0.155,0.145,,,,,,,3,TX,Engineer - Chemical,Full-time,8.0,False,True,8E5A3365665729204E57173,2008-02-22 12:56:59.280000000,620.0,639.0,1995-04-30 00:00:00,8.0,8.0,14.0,8,179.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4190.0,0.78,1160.0,12.0,0.46,0.0,0.25,"$25,000-49,999",True,3500.0,677534146077127796B04E9,1.0,9.0,9.0,0.0,0.0,9898.0,7195.37,-40.0,0,,72,28311,9000,2008-03-11 00:00:00.000,Q1 2008,73833386023826468EFBD36,314.2,10212.36,9000.0,1212.36,-78.22,0.0,0.0,0.0,0.0,1.0,1,0,0.0,159,
14009,977B341575085336398327E,288827,2008-03-05 15:13:55.970,B,36,Completed,2011-03-17 00:00:00,0.13814,0.124,0.114,,,,,,,3,WA,Executive,Full-time,128.0,True,False,,2008-03-05 14:49:08.853000000,680.0,699.0,1997-08-01 00:00:00,22.0,21.0,35.0,22,2545.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,100637.0,0.84,15037.0,34.0,1.0,1.0,0.38,"$75,000-99,999",True,7500.0,68A03416470341701954D92,,,,,,,,,0,,72,28558,10000,2008-03-17 00:00:00.000,Q1 2008,D6C233686321304549B73BF,329.17,12031.05,10000.02,2031.03,-163.79,0.0,0.0,0.0,0.0,1.0,0,0,0.0,224,
11539,9EC034148757333992620D6,288886,2008-03-05 16:35:46.047,A,36,Completed,2008-11-13 00:00:00,0.1089,0.095,0.085,,,,,,,4,GA,Nurse's Aide,Self-employed,12.0,False,False,,2008-03-05 16:27:42.193000000,720.0,739.0,2002-09-16 00:00:00,3.0,2.0,4.0,2,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,300.0,4.0,0.75,1.0,0.12,"$1-24,999",True,1000.0,A57C3416394924608149224,,,,,,,,,0,,72,28472,3001,2008-03-14 00:00:00.000,Q1 2008,2DF334139060317468EE731,96.13,3032.77,3001.0,31.77,-3.36,0.0,0.0,0.0,0.0,1.0,0,0,0.0,139,
6766,58CD34158371510384E2D5E,288933,2008-03-05 17:39:25.930,A,36,Completed,2009-06-24 00:00:00,0.08592000000000001,0.0745,0.0645,,,,,,,5,TX,Engineer - Mechanical,Full-time,22.0,False,False,,2008-03-01 12:51:50.673000000,720.0,739.0,1997-08-08 00:00:00,5.0,4.0,29.0,2,85.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2368.0,0.29,5732.0,14.0,1.0,0.0,0.09,"$50,000-74,999",True,4832.5,4669341538358837027C46B,,,,,,,,,0,,72,28596,1500,2008-03-18 00:00:00.000,Q1 2008,8766341345736256536DD8D,46.62,1572.76,1500.0,72.76,-9.77,0.0,0.0,0.0,0.0,1.0,0,0,0.0,33,
108143,CC7C34142768257200F6C08,288982,2008-03-05 18:58:09.947,B,36,Chargedoff,2011-01-14 00:00:00,0.26021,0.245,0.235,,,,,,,3,CA,Other,Self-employed,38.0,True,False,,2008-03-05 18:51:10.073000000,700.0,719.0,1996-02-09 00:00:00,8.0,7.0,21.0,5,1664.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,164057.0,0.95,543.0,13.0,1.0,0.0,0.16,"$100,000+",True,14833.333333,FACC34151621534867844BE,,,,,,,,,1273,34.0,72,28506,15000,2008-03-14 00:00:00.000,Q1 2008,134034154140036351BBC84,592.44,16989.34,10364.85,6624.49,-258.76,-833.0,4402.11,4635.15,0.0,1.0,1,0,0.0,273,
83890,65FC34138558430711AF4A4,289003,2008-03-05 19:34:08.713,C,36,Completed,2011-02-14 00:00:00,0.15144000000000002,0.13,0.12,,,,,,,4,IL,Truck Driver,Full-time,51.0,True,False,,2008-03-05 19:22:09.500000000,640.0,659.0,1991-03-01 00:00:00,8.0,8.0,14.0,4,105.0,1.0,8.0,2.0,175.0,0.0,1.0,0.0,2270.0,0.51,1638.0,13.0,0.85,1.0,0.16,"$50,000-74,999",True,4500.0,8E7B3415105425336778649,,,,,,,,,0,,72,28464,1000,2008-03-14 00:00:00.000,Q1 2008,2D93341481462693933F0DA,33.69,1201.41,999.99,201.42,-15.49,0.0,0.0,0.0,0.0,1.0,0,0,0.0,50,
34450,92293415338318841EB92D9,289019,2008-03-05 19:53:24.800,D,36,Defaulted,2009-02-12 00:00:00,0.17677,0.155,0.145,,,,,,,4,IA,Executive,Full-time,74.0,True,False,,2008-03-05 19:50:47.693000000,620.0,639.0,1983-05-12 00:00:00,22.0,17.0,67.0,18,2990.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,130387.0,0.96,5978.0,59.0,0.88,1.0,0.34,"$100,000+",True,15416.666667,E28734145814654252E3214,,,,,,,,,645,11.0,72,28293,5000,2008-03-11 00:00:00.000,Q1 2008,73E43411864497442B6AA04,174.55,1047.3,660.21,387.09,-24.01,0.0,4339.79,4339.79,0.0,1.0,0,0,0.0,82,
90502,F7C83415217925063C4A7B6,289031,2008-03-05 20:13:51.667,E,36,Defaulted,2011-07-24 00:00:00,0.23201,0.21,0.2,,,,,,,4,CA,Teacher,Full-time,222.0,False,False,,2008-03-05 19:58:49.580000000,580.0,599.0,1983-03-30 00:00:00,16.0,16.0,22.0,12,856.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,37509.0,0.94,2258.0,22.0,0.86,1.0,0.33,"$50,000-74,999",True,5870.0,8B0E3415825296058159485,,,,,,,,,147,40.0,72,28761,2555,2008-03-24 00:00:00.000,Q1 2008,6E393414033542825C51DDE,55.04,3432.58,2229.06,1203.52,-51.24,-147.23,310.96,14.98,22.38,1.0,0,0,0.0,67,
58259,D6B43415441568416A5FF63,289040,2008-03-05 20:32:10.567,A,36,Completed,2009-09-18 00:00:00,0.08634,0.0795,0.0695,,,,,,,3,TX,Analyst,Full-time,3.0,False,False,,2008-03-05 20:14:47.823000000,740.0,759.0,2004-02-20 00:00:00,4.0,3.0,6.0,3,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,19826.0,6.0,1.0,0.0,0.03,"$25,000-49,999",True,3333.333333,86423415435415203BB235F,,,,,,,,,0,,72,28465,2500,2008-03-14 00:00:00.000,Q1 2008,A0B8339204970745343F510,78.28,2648.59,2500.0,148.59,-18.69,0.0,0.0,0.0,0.0,1.0,0,0,0.0,146,
90411,46A834138998952188EB513,289043,2008-03-05 20:38:32.140,C,36,Completed,2010-08-23 00:00:00,0.14587,0.1245,0.1145,,,,,,,6,OK,Professional,Full-time,11.0,False,False,,2008-03-05 20:07:54.967000000,640.0,659.0,1999-11-03 00:00:00,8.0,7.0,18.0,3,146.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7669.0,0.85,1281.0,12.0,0.92,1.0,0.14,"$25,000-49,999",True,2916.666667,691234158726525486D9217,1.0,6.0,6.0,0.0,0.0,1000.0,821.09,0.0,0,,72,28308,1000,2008-03-11 00:00:00.000,Q1 2008,F54333821164104655E7065,33.43,1194.01,999.89,194.12,-15.59,0.0,0.0,0.0,0.0,1.0,0,0,0.0,74,
18626,DE753414528418107DF78EC,289085,2008-03-05 22:53:54.010,D,36,Chargedoff,2009-01-15 00:00:00,0.37453000000000003,0.35,0.34,,,,,,,4,CA,Other,Full-time,86.0,False,True,8E5A3365665729204E57173,2008-02-11 13:33:06.347000000,620.0,639.0,1991-07-01 00:00:00,9.0,5.0,40.0,3,67.0,6.0,46.0,1.0,0.0,7.0,0.0,0.0,1338.0,0.28,2294.0,31.0,0.64,1.0,0.27,"$50,000-74,999",True,4500.0,C97F34164777600468E0C78,1.0,10.0,10.0,0.0,0.0,8000.0,6369.75,0.0,2003,10.0,72,28499,6500,2008-03-14 00:00:00.000,Q1 2008,098333874459297275CEE65,294.03,1520.15,501.2,1018.95,-31.96,0.0,5998.8,5998.8,0.0,1.0,0,0,0.0,39,
42084,9FE434150325872618367E5,289097,2008-03-05 23:50:13.193,AA,36,Chargedoff,2009-10-21 00:00:00,0.23346,0.226,0.226,,,,,,,4,CA,Other,Self-employed,61.0,True,False,,2008-02-27 21:21:02.060000000,760.0,779.0,1988-03-01 00:00:00,16.0,15.0,28.0,13,2078.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,199292.0,0.89,23615.0,27.0,0.96,0.0,0.74,"$25,000-49,999",True,3100.0,2E0B34150460130610D2170,,,,,,,,,1724,19.0,72,28717,15000,2008-03-20 00:00:00.000,Q1 2008,EB1834141175398037E841B,577.52,8085.28,4669.8,3415.48,0.0,0.0,10330.2,10330.2,0.0,1.0,0,0,0.0,137,
45676,A3AF3413818861786D39CEC,289120,2008-03-06 03:35:00.343,D,36,Completed,2009-12-07 00:00:00,0.25727,0.24,0.23,,,,,,,4,MI,Clerical,Full-time,42.0,True,False,,2008-02-19 17:30:50.960000000,620.0,639.0,1986-12-01 00:00:00,12.0,7.0,55.0,5,339.0,2.0,20.0,1.0,9425.0,13.0,1.0,0.0,12686.0,1.01,0.0,53.0,0.77,2.0,0.28,"$25,000-49,999",True,2916.666667,28EB3415722722507024D7F,1.0,4.0,4.0,0.0,0.0,5000.0,0.0,0.0,0,,72,28604,1100,2008-03-18 00:00:00.000,Q1 2008,282333911769747910F4037,43.16,1462.02,1100.0,362.02,-15.08,0.0,0.0,0.0,0.0,1.0,0,0,0.0,12,
27631,92A63413925827658A5BD47,289151,2008-03-06 06:23:58.387,AA,36,Completed,2008-06-27 00:00:00,0.08182,0.075,0.075,,,,,,,4,NY,Professional,Full-time,34.0,False,False,,2008-02-11 11:01:27.290000000,780.0,799.0,2000-10-17 00:00:00,9.0,9.0,11.0,8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,11.0,0.9,0.0,0.02,"$100,000+",True,12083.333333,CC28341442568109229B6E4,,,,,,,,,0,,72,28383,5000,2008-03-12 00:00:00.000,Q1 2008,EE96341145522465355D8CE,155.53,5088.71,5000.0,88.71,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,149,
108573,EED234145088564953E595D,289175,2008-03-06 07:13:11.803,C,36,Chargedoff,2010-04-11 00:00:00,0.18517,0.18,0.16,,,,,,,3,TX,Computer Programmer,Full-time,13.0,True,False,,2008-02-21 10:12:27.193000000,640.0,659.0,2000-03-27 00:00:00,17.0,17.0,21.0,13,283.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,6119.0,0.22,14492.0,21.0,0.85,6.0,0.3,"$50,000-74,999",True,4583.333333,45223416339307741254A7D,1.0,6.0,6.0,0.0,0.0,6000.0,5180.22,0.0,1215,25.0,72,28360,3500,2008-03-11 00:00:00.000,Q1 2008,C2F73396857466376FCCB53,126.53,2358.34,1574.49,783.85,-45.74,-430.76,1868.07,1287.42,719.58,1.0,0,0,0.0,43,
88707,9F17341555314617256199F,289181,2008-03-06 07:31:33.187,C,36,Defaulted,2009-10-02 00:00:00,0.26292,0.24,0.23,,,,,,,7,WA,Other,Full-time,328.0,True,False,,2008-02-18 14:58:48.253000000,660.0,679.0,1989-05-01 00:00:00,19.0,18.0,34.0,17,2290.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,88045.0,0.89,7702.0,32.0,0.93,0.0,0.56,"$75,000-99,999",True,6333.333333,A55C3415641600973769817,,,,,,,,,105,19.0,72,28626,7250,2008-03-18 00:00:00.000,Q1 2008,BD303412359593647073198,284.44,3982.16,2224.14,1758.02,-73.25,0.0,5025.86,5025.86,0.0,1.0,1,0,0.0,59,
87426,47F934145685004414CC04B,289183,2008-03-06 07:35:23.843,AA,36,Completed,2009-11-04 00:00:00,0.08564,0.0788,0.0688,,,,,,,7,MD,Other,Full-time,1.0,False,False,,2008-04-28 17:45:21.017000000,780.0,799.0,2001-05-31 00:00:00,20.0,18.0,45.0,16,61.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1753.0,0.0,67600.0,39.0,1.0,1.0,0.14,"$50,000-74,999",True,5416.666667,87B93420472162087CD0047,,,,,,,,,0,,70,31033,6001,2008-05-13 00:00:00.000,Q2 2008,474B3383012153824B9B5FC,187.72,6481.87,6001.0,480.87,-61.02,0.0,0.0,0.0,0.0,1.0,3,1,50.0,135,
32181,D20B3415203058216ADB0C7,289201,2008-03-06 08:13:28.017,A,36,Completed,2009-05-07 00:00:00,0.14268,0.1285,0.1185,,,,,,,3,UT,Other,Self-employed,17.0,False,False,,2008-02-29 12:00:00.823000000,740.0,759.0,1997-09-14 00:00:00,6.0,3.0,12.0,3,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,11.0,1.0,2.0,0.19,"$25,000-49,999",True,2666.666667,23813416110449606F27ADC,,,,,,,,,0,,72,28309,10000,2008-03-11 00:00:00.000,Q1 2008,0273341443879462781A1F6,336.22,11149.69,10000.0,1149.69,-89.47,0.0,0.0,0.0,0.0,1.0,1,0,0.0,271,
